samples - プロット0	value - プロット0	
646	0.00551429	
647	0.854781	
648	0.703654	
649	0.552135	
650	0.400225	
651	0.247925	
652	0.0952355	
653	0.942157	
654	0.78869	
655	0.634836	
656	0.480596	
657	0.32597	
658	0.17096	
659	0.015565	
660	0.859787	
661	0.703627	
662	0.547085	
663	0.390162	
664	0.23286	
665	0.0751775	
666	0.917117	
667	0.758679	
668	0.599864	
669	0.440672	
670	0.281106	
671	0.121165	
672	0.96085	
673	0.800162	
674	0.639102	
675	0.47767	
676	0.315868	
677	0.153695	
678	0.991154	
679	0.828244	
680	0.664966	
681	0.501322	
682	0.337311	
683	0.172935	
684	0.00819481	
685	0.84309	
686	0.677623	
687	0.511793	
688	0.345602	
689	0.17905	
690	0.0121378	
691	0.844866	
692	0.677236	
693	0.509248	
694	0.340903	
695	0.172202	
696	0.00314521	
697	0.833733	
698	0.663967	
699	0.493848	
700	0.323376	
701	0.152553	
702	0.981378	
703	0.809852	
704	0.637977	
705	0.465753	
706	0.293181	
707	0.120261	
708	0.946994	
709	0.773381	
710	0.599423	
711	0.425121	
712	0.250474	
713	0.075484	
714	0.900152	
715	0.724478	
716	0.548462	
717	0.372107	
718	0.195412	
719	0.0183778	
720	0.841006	
721	0.663296	
722	0.485249	
723	0.306867	
724	0.128149	
725	0.949096	
726	0.769709	
727	0.589989	
728	0.409937	
729	0.229553	
730	0.0488368	
731	0.867791	
732	0.686415	
733	0.50471	
734	0.322676	
735	0.140315	
736	0.957627	
737	0.774612	
738	0.591272	
739	0.407607	
740	0.223617	
741	0.0393039	
742	0.854668	
743	0.669709	
744	0.484429	
745	0.298828	
746	0.112907	
747	0.926666	
748	0.740107	
749	0.553229	
750	0.366033	
751	0.178521	
752	0.990692	
753	0.802548	
754	0.614089	
755	0.425315	
756	0.236228	
757	0.0468286	
758	0.857117	
759	0.667093	
760	0.476758	
761	0.286113	
762	0.0951586	
763	0.903895	
764	0.712323	
765	0.520443	
766	0.328257	
767	0.135764	
768	0.942965	
769	0.749861	
770	0.556453	
771	0.362741	
772	0.168726	
773	0.974408	
774	0.779788	
775	0.584867	
776	0.389645	
777	0.194124	
778	0.998303	
779	0.802183	
780	0.605765	
781	0.40905	
782	0.212038	
783	0.0147299	
784	0.817126	
785	0.619227	
786	0.421034	
787	0.222548	
788	0.0237676	
789	0.824695	
790	0.625331	
791	0.425676	
792	0.22573	
793	0.0254936	
794	0.824968	
795	0.624154	
796	0.423052	
797	0.221662	
798	0.0199851	
799	0.818022	
800	0.615773	
801	0.413239	
802	0.210421	
803	0.00731833	
804	0.803933	
805	0.600264	
806	0.396314	
807	0.192082	
808	0.987569	
809	0.782776	
810	0.577703	
811	0.372351	
812	0.16672	
813	0.960812	
814	0.754626	
815	0.548163	
816	0.341424	
817	0.13441	
818	0.927121	
819	0.719557	
820	0.511719	
821	0.303609	
822	0.095225	
823	0.886569	
824	0.677642	
825	0.468444	
826	0.258976	
827	0.0492378	
828	0.83923	
829	0.628955	
830	0.418411	
831	0.207599	
832	0.996521	
833	0.785176	
834	0.573565	
835	0.36169	
